store_id,branch,place_id,avg_rating,num_ratings,review_author,review_rating,review_text
ChIJnXAf4dRX4joRYyGLqos5QB0,Aggona,ChIJnXAf4dRX4joRYyGLqos5QB0,4.3,31.0,,,
ChIJnXAf4dRX4joRYyGLqos5QB0,Aggona,ChIJnXAf4dRX4joRYyGLqos5QB0,4.3,31.0,Vachintha Piyadasa,5.0,"The newly opened Keells Aggona branch is a welcome addition to the area, offering a top-notch shopping experience. The store is well-organized, making it easy to navigate through aisles and find what you need quickly. One of the standout aspects of this branch is its efficient and friendly staff, who ensure a smooth and pleasant shopping experience. The wide range of products, from fresh produce to household essentials, caters to diverse customer needs. Additionally, the ample parking space is a great convenience, making visits hassle-free. Overall, Keells Aggona delivers on quality, efficiency, and convenience, making it a great choice for grocery shopping in the area."
ChIJnXAf4dRX4joRYyGLqos5QB0,Aggona,ChIJnXAf4dRX4joRYyGLqos5QB0,4.3,31.0,Samitha Bambarawane,4.0,The new outlet at the Aggona junction. Their bakery is a major plus point. The parking space is ample. The staff is nice and supportive. They didn't have CR2032 batteries nor rubber gloves.
ChIJnXAf4dRX4joRYyGLqos5QB0,Aggona,ChIJnXAf4dRX4joRYyGLqos5QB0,4.3,31.0,Nirmani Samarakoon,5.0,Visited the new Keells in agony junction. It is a big keels with a bakery and all the facilities. Spacious and ample parking available. The staff is also friendly and the place has a pharmacy as well. The keels in Kalapaluwawa does not have a bakery so it is a huge plus point.
ChIJnXAf4dRX4joRYyGLqos5QB0,Aggona,ChIJnXAf4dRX4joRYyGLqos5QB0,4.3,31.0,Myth Doge,1.0,"The branch is usually very good, but some of the staff on the bakery, especially the bakers in particular are a bit rude. They were very rude when we had asked them to restock the straws for the drinks. Bit disappointing as almost everything else is perfect at this outlet."
ChIJnXAf4dRX4joRYyGLqos5QB0,Aggona,ChIJnXAf4dRX4joRYyGLqos5QB0,4.3,31.0,Wenuka Galahitiyawa,1.0,This is not the first time but really disappointed with the quality of fresh items. Chicken is obviously fried more than twice or thrice and all the fruits mainly oranges and pomegranate are not fresh at all. We pay a premium for freshness but this is really disappointing !!!
ChIJ8U54b8BR4joR7IMQ8KUhuRo,Akuregoda,ChIJ8U54b8BR4joR7IMQ8KUhuRo,4.4,1094.0,,,
ChIJ8U54b8BR4joR7IMQ8KUhuRo,Akuregoda,ChIJ8U54b8BR4joR7IMQ8KUhuRo,4.4,1094.0,Vamsy Varma Datla,5.0,"Clean, well-stocked, and reliable. Great for picking up essentials, snacks, or fresh food. One of the best supermarket options in Sri Lanka for both locals and travelers."
ChIJ8U54b8BR4joR7IMQ8KUhuRo,Akuregoda,ChIJ8U54b8BR4joR7IMQ8KUhuRo,4.4,1094.0,N Perera,5.0,"I'm a regular customer here and Keels most definitely has the friendliest staff I've ever met. Right when you walk in, the security themselves give you a warm welcome. Everyday, when I get lunch here, it's like getting your own homemade meal. The pharmacists here are really nice, and know exactly what medicines you'll need. Huge thanks to everyone- from the manager to all the lovely staff members who work to make the place feel like Home.

Just thought I'd share my experience, thank you 🙏🏻"
ChIJ8U54b8BR4joR7IMQ8KUhuRo,Akuregoda,ChIJ8U54b8BR4joR7IMQ8KUhuRo,4.4,1094.0,Waruna Illukpitiya,4.0,"It’s a grocery store. It has the essentials one needs and that is it. Don’t expect non-standard things or anything that is considered “luxury” here.
Friendly staff, good bathrooms. Great parking are the redeeming factors here."
ChIJ8U54b8BR4joR7IMQ8KUhuRo,Akuregoda,ChIJ8U54b8BR4joR7IMQ8KUhuRo,4.4,1094.0,Thamira Mendis,5.0,"Big keells supper located in Akuregoda. All day today essential goods are available including beakery items, fresh meat and fish. Large parking space also available here. Pharmacy also available hereu"
ChIJ8U54b8BR4joR7IMQ8KUhuRo,Akuregoda,ChIJ8U54b8BR4joR7IMQ8KUhuRo,4.4,1094.0,dhanushka nimalasena,5.0,Most busiest keels outlet in the area. All items are available.  Staff deciplene and support should be improved
ChIJj1O9I4gu4joRilgexZWtFlc,Aluthgama,ChIJj1O9I4gu4joRilgexZWtFlc,4.4,851.0,,,
ChIJj1O9I4gu4joRilgexZWtFlc,Aluthgama,ChIJj1O9I4gu4joRilgexZWtFlc,4.4,851.0,Senuka Tennakoon,5.0,"Keells Aluthgama has become my go-to spot for groceries in the area. The store is well-organized and has a solid selection of fresh vegetables, fruits, and snacks. 🍎🥬

Staff are super friendly and helpful — I once couldn’t find something and they guided me right to it with a smile 😄.

It’s got good parking space out front, and the AC inside is a lifesaver on hot days 🧊🌞.

Prices are decent, and they always have nice little offers going on. You can also get basic home goods and bakery items — very handy for quick stops or full-on shopping.

Definitely recommend if you’re in or around Aluthgama! 💚"
ChIJj1O9I4gu4joRilgexZWtFlc,Aluthgama,ChIJj1O9I4gu4joRilgexZWtFlc,4.4,851.0,Karuppiah Vasanthamohan,5.0,"Thanks for fulfilling our 13 hungry stomach on a beautiful Sunday morning with your hot,fresh,tasty breakfasts ( short eats and sweets ).... affordable price with fresh food...I highly recommend this place for everyone....
( sorry, we forgot to take pics, as we were busy in eating those fresh foods...😄)"
ChIJj1O9I4gu4joRilgexZWtFlc,Aluthgama,ChIJj1O9I4gu4joRilgexZWtFlc,4.4,851.0,Sandun Sampath,1.0,"I visited the Keells outlet in Aluthgama on Saturday, August 2nd, 2025, around 2:20 PM, primarily to purchase some bakery items and fruits. As a regular customer who appreciates the usual standards at Keells, I was quite disappointed with the experience at this branch.

When I approached the bakery section, there was no staff present at the counter, and since self-service seemed available, I took a box and started selecting a few pastries. Suddenly, a male staff member appeared, took the box from my hand without any explanation or courteous communication. In a very dull tone, he asked, “What do you want?”, which felt dismissive and unwelcoming.

Due to this impolite interaction, I decided not to proceed with my purchase. I also noticed that other staff members in the area were not friendly or attentive, which made the environment feel cold and uninviting — something I do not expect from Keells.

The only staff member who showed professionalism and warmth was the security officer at the entrance. He greeted customers pleasantly and was the only one who reflected the kind of customer service Keells is known for.

I hope the management will look into the staff training and customer service standards at this outlet. Keells usually maintains a high reputation for service quality, but this experience did not meet that standard."
ChIJj1O9I4gu4joRilgexZWtFlc,Aluthgama,ChIJj1O9I4gu4joRilgexZWtFlc,4.4,851.0,Indu R,5.0,Loved the pastry selection here along with the special promotions at this location that we haven't encountered anywhere else before.
ChIJj1O9I4gu4joRilgexZWtFlc,Aluthgama,ChIJj1O9I4gu4joRilgexZWtFlc,4.4,851.0,Mikhail Grodinskii,5.0,"Good store. There is everything you need. There is a discount program, you can issue a discount card at the checkout. You need a passport and phone for sms."
ChIJQ6R93imB4ToRHb4YrV0XRjA,Ambalangoda,ChIJQ6R93imB4ToRHb4YrV0XRjA,4.5,490.0,,,
ChIJQ6R93imB4ToRHb4YrV0XRjA,Ambalangoda,ChIJQ6R93imB4ToRHb4YrV0XRjA,4.5,490.0,Leanne de Waal,5.0,Everything we need just up the street. Clean. Friendly staff. We'll stocked. We LOVE Keells!!!
ChIJQ6R93imB4ToRHb4YrV0XRjA,Ambalangoda,ChIJQ6R93imB4ToRHb4YrV0XRjA,4.5,490.0,Thamira Mendis,5.0,Big keells supper located near roundabout Ambalangoda. All day today essential goods are available including beakery items. Large parking space also available here.
